sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,asphalt,brick,transition
2,1775669100000,1263,2450,9686,97738,-83077,-37873,0,0,0,446,521,349,420,410,443,513,432,322,261,222,360,0,,,
1,1775669100016,4632,-540,15596,-4895474,-1182635,320093,0,0,0,233,272,216,269,180,282,336,249,295,229,245,149,0,,,
2,1775669100016,1263,2421,9686,96516,-84299,-28099,0,0,0,446,521,351,423,413,444,511,429,323,260,221,361,0,,,
1,1775669100032,5072,-1909,15965,-4713436,-985936,156381,0,0,0,233,273,215,260,195,276,337,251,293,229,246,151,0,,,
2,1775669100032,1296,2402,9676,92851,-92851,-20769,0,0,0,445,515,348,428,417,447,511,425,327,259,218,362,0,,,
1,1775669100048,4699,-2967,16190,-4464203,-801455,-125838,0,0,0,237,274,215,276,176,281,335,253,294,231,248,148,0,,,
2,1775669100048,1287,2383,9657,94073,-106290,-20769,0,0,0,451,519,355,428,424,450,514,425,331,260,215,366,0,,,
1,1775669100064,3642,-4498,16367,-4155105,-640186,-502131,0,0,0,235,273,215,276,173,281,336,254,294,231,248,149,0,,,
2,1775669100064,1253,2383,9672,97738,-114842,-21991,0,0,0,447,523,352,432,433,451,511,419,326,264,219,368,0,,,
1,1775669100080,2100,-6877,16137,-3760486,-460592,-814894,0,0,0,235,275,216,276,176,284,337,253,294,231,248,150,0,,,
2,1775669100080,1253,2388,9734,103847,-117286,-21991,0,0,0,454,528,359,432,428,453,510,416,334,262,217,370,0,,,
1,1775669100096,440,-9030,15372,-3293785,-344527,-941954,0,0,0,233,276,217,279,182,285,335,253,294,230,248,149,0,,,
2,1775669100096,1282,2378,9786,118507,-116064,-24434,0,0,0,457,529,358,432,436,456,509,407,334,259,207,379,0,,,
1,1775669100112,-689,-10342,14367,-2772106,-353080,-1036027,0,0,0,232,276,216,276,182,286,333,252,294,229,249,149,0,,,
2,1775669100112,1292,2378,9810,150272,-119729,-32986,0,0,0,455,527,362,438,435,463,505,405,335,259,207,388,0,,,
1,1775669100128,-985,-11208,13491,-2293188,-427605,-1211956,0,0,0,229,276,215,274,185,284,331,255,294,230,253,148,0,,,
2,1775669100128,1268,2378,9849,197920,-119729,-43982,0,0,0,459,529,373,431,438,466,506,396,340,257,202,398,0,,,
1,1775669100144,-555,-12026,12763,-1902234,-483805,-1368338,0,0,0,230,276,216,276,185,285,329,256,294,229,253,148,0,,,
2,1775669100144,1234,2359,9882,250454,-109955,-52534,0,0,0,462,535,376,437,445,464,501,383,341,260,198,407,0,,,
1,1775669100160,-138,-12845,12012,-1552819,-464257,-1357342,0,0,0,232,278,218,278,184,287,330,254,294,233,255,150,0,,,
2,1775669100160,1220,2306,9925,306654,-86742,-58643,0,0,0,462,542,378,439,433,468,446,357,347,258,191,411,0,,,
1,1775669100176,9,-13563,11064,-1150870,-338419,-1141096,0,0,0,233,278,214,277,181,282,334,252,291,247,262,149,0,,,
2,1775669100176,1253,2254,9983,362853,-63529,-65973,0,0,0,464,549,391,440,429,476,450,333,348,259,187,419,0,,,
1,1775669100192,-727,-14773,10595,-724486,-230907,-899193,0,0,0,234,276,212,273,175,278,338,260,288,260,283,146,0,,,
2,1775669100192,1330,2201,10064,414166,-52534,-75747,0,0,0,463,551,402,444,435,484,474,318,351,262,185,431,0,,,
1,1775669100208,-2091,-20535,11122,145385,-392175,-607200,0,0,0,237,273,217,275,172,279,352,283,286,278,311,141,0,,,
2,1775669100208,1421,2158,10208,469144,-63529,-91629,0,0,0,459,550,395,449,445,493,465,304,356,263,183,441,0,,,
1,1775669100224,-1842,-21143,12974,1726305,-681725,-366519,0,0,0,241,269,217,284,172,279,377,305,284,309,330,132,0,,,
2,1775669100224,1450,2134,10361,552222,-101403,-117286,0,0,0,462,552,374,455,454,492,451,287,356,263,182,449,0,,,
