sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,brick
2,1775671631920,966,1139,10117,469144,-35430,-62308,0,0,0,446,509,345,452,431,493,556,448,351,245,194,430,0,
1,1775671631936,-6116,-1665,22746,-6144082,-2092824,-1616349,0,0,0,237,303,237,260,200,303,330,263,286,177,227,133,0,
2,1775671631936,1038,1038,10165,514348,-13439,-69638,0,0,0,460,519,351,461,445,500,560,429,357,247,183,452,0,
1,1775671631952,-6058,-2493,24895,-5922949,-2129476,-1982868,0,0,0,241,305,240,260,199,303,330,261,286,176,225,133,0,
2,1775671631952,1191,914,10212,561996,-2443,-89186,0,0,0,466,529,347,470,458,510,558,418,363,251,174,471,0,
1,1775671631968,-5719,-4182,26810,-5687155,-2247984,-2420248,0,0,0,243,306,242,259,198,303,333,263,288,176,222,133,0,
2,1775671631968,1340,818,10289,625526,-8552,-127059,0,0,0,475,538,346,476,467,516,548,377,368,257,172,492,0,
1,1775671631984,-5317,-8116,28485,-5510004,-2367713,-2814867,0,0,0,241,305,241,265,198,309,336,262,290,182,220,130,0,
2,1775671631984,1569,765,10433,701273,-8552,-182037,0,0,0,484,548,350,483,474,521,536,336,371,258,171,515,0,
1,1775671632000,-5594,-14745,28097,-5485569,-2274862,-2824640,0,0,0,238,307,237,271,198,313,335,254,290,189,221,127,0,
2,1775671632000,1742,703,10772,797790,17104,-273667,0,0,0,493,555,348,492,480,529,520,305,372,260,171,537,0,
1,1775671632016,-4422,-24264,23349,-5323079,-2179567,-1881464,0,0,0,235,311,232,268,195,311,335,254,292,189,223,126,0,
2,1775671632016,1325,737,11447,970053,34208,-350636,0,0,0,507,558,341,496,489,536,496,276,377,268,175,555,0,
1,1775671632032,1483,-34218,17827,-4515515,-2228436,-386066,0,0,0,233,309,233,268,197,311,339,254,295,191,223,127,0,
2,1775671632032,1067,674,11954,1313360,-17104,-337197,0,0,0,517,559,332,497,502,541,467,259,386,270,175,570,0,
1,1775671632048,11261,-41454,14247,-2857627,-1756848,1065348,0,0,0,232,307,234,270,199,312,343,260,292,196,228,126,0,
2,1775671632048,1072,512,12668,1762957,-54977,-307876,0,0,0,515,555,309,502,512,542,438,253,388,270,174,583,0,
1,1775671632064,14515,-41847,13744,-824668,-144164,1616349,0,0,0,224,299,219,262,195,301,371,293,291,225,268,118,0,
2,1775671632064,1277,550,13869,2255314,-23212,-320093,0,0,0,507,549,281,506,522,552,401,251,391,274,182,592,0,
1,1775671632080,9743,-34491,16333,992045,1551597,1574810,0,0,0,232,276,193,267,186,272,414,378,271,257,342,106,0,
2,1775671632080,1579,670,14960,2872288,-59864,-360410,0,0,0,511,553,272,508,527,561,357,246,388,271,181,596,0,
1,1775671632096,67,-12289,18052,2952922,3345098,1147204,0,0,0,237,256,159,266,169,251,447,428,255,293,381,89,0,
2,1775671632096,1943,617,15654,3590665,-162490,-434936,0,0,0,524,557,258,498,526,547,315,237,389,270,182,603,0,
1,1775671632112,-6369,9590,14209,4351803,3926641,397062,0,0,0,244,255,149,279,166,247,463,459,268,332,409,85,0,
2,1775671632112,2747,603,16802,4389677,-229685,-585208,0,0,0,526,548,259,480,521,536,279,216,392,259,177,591,0,
1,1775671632128,-3086,7513,13888,5131268,2689028,-131946,0,0,0,245,256,160,288,165,267,475,474,295,362,424,93,0,
2,1775671632128,4168,842,18937,5246110,-306654,-831998,0,0,0,518,540,254,471,505,528,270,182,392,248,164,553,0,
1,1775671632144,2220,-1359,20899,5099503,718377,81855,0,0,0,252,269,185,295,175,285,485,486,292,377,429,100,0,
2,1775671632144,5254,1043,22684,6243042,-492357,-1177748,0,0,0,498,525,249,476,501,521,264,166,382,225,144,480,0,
1,1775671632160,119,-2895,23598,3754377,31764,643851,0,0,0,253,280,221,296,181,316,493,494,296,386,431,116,0,
2,1775671632160,6049,1129,26747,7213096,-635299,-1477072,0,0,0,435,507,225,459,484,511,265,165,359,204,138,416,0,
