feature,surface,count,mean,std,min,25%,50%,75%,max,anova_F
gyro_y_strike,hard,9757.0,2104986.6487649893,717772.0713430523,217468.0,1626123.0,2063502.0,2521651.0,6894225.0,206.92
gyro_y_strike,soft,3396.0,2309453.6118963487,700789.0787416548,245567.0,1830152.0,2274862.0,2752558.0,6748839.0,206.92
gu_stance_frac,ALL,13153.0,0.8985028660013888,0.13653675420400815,0.5652173913043478,0.8133333333333334,1.0,1.0,1.0,196.81
gu_stance_frac,hard,9757.0,0.9082837096187815,0.13154951884977972,0.5652173913043478,0.8428571428571429,1.0,1.0,1.0,196.81
gu_stance_frac,soft,3396.0,0.8704016612973557,0.1463728528136247,0.5714285714285714,0.7466666666666667,0.9230769230769232,1.0,1.0,196.81
gu_load_first_frac,ALL,13153.0,0.6170039346314482,0.03745918750563813,0.4936541998338103,0.5831347293035659,0.6195493376318625,0.6489715387178733,0.7540959144560381,139.9
gu_load_first_frac,hard,9757.0,0.6147367210412582,0.035803748064804006,0.4936541998338103,0.5826705766662542,0.6135588910417838,0.6461980084960813,0.7540959144560381,139.9
gu_load_first_frac,soft,3396.0,0.6235178342190466,0.04116927791988534,0.5544814165375772,0.5842677605555031,0.6322305404277795,0.6562044562863746,0.7457403215829985,139.9
orient_range_a,ALL,13153.0,6.865109991938846,5.042324654835507,0.2134367311057276,3.39318041592418,4.805050727719226,9.367823478781808,48.40749365512809,138.33
orient_range_a,hard,9757.0,6.561620703323159,4.555714221573876,0.2134367311057276,3.4083283242640974,4.675717554409731,9.025740150615686,41.10180644456537,138.33
orient_range_a,soft,3396.0,7.7370608132060035,6.150499227398268,0.2765848275951867,3.363407221537103,5.298035643657973,10.546569722739761,48.40749365512809,138.33
accel_mag_strike,ALL,13153.0,35036.431765590874,5088.902027977858,22523.33070396117,30890.15200674804,34677.503283829414,38775.94821535639,64509.08600344606,133.35
accel_mag_strike,hard,9757.0,35337.22397934574,4969.766278691466,23520.044323937826,31252.117656248516,35052.81847441087,38871.70662577089,63347.66681575573,133.35
accel_mag_strike,soft,3396.0,34172.22987230284,5323.634118227848,22523.33070396117,29552.001066119235,33581.866279844005,38469.608387748645,64509.08600344606,133.35
gu_fore_early_frac,ALL,13153.0,0.5273081439609532,0.07107871467050904,0.3870762629768542,0.4642227720667348,0.4899551994371086,0.5937630159043943,0.7294935067524071,110.99
gu_fore_early_frac,hard,9757.0,0.5234720937131752,0.07030112448126526,0.3870762629768542,0.4627987519075494,0.4836785648027566,0.5896772817219664,0.7105901009603155,110.99
gu_fore_early_frac,soft,3396.0,0.5383294461598843,0.07215116919768919,0.4017741881784424,0.4693978879204516,0.5466219234935894,0.6016630782993115,0.7294935067524071,110.99
gu_push_peak,ALL,13153.0,1.3514817568636217,0.2396781929586337,0.8767631211866174,1.1531012769223978,1.225578906401672,1.5778909372908787,2.363663698900124,102.67
gu_push_peak,hard,9757.0,1.33903695974744,0.2420538173635113,0.8767631211866174,1.1458444215777488,1.208665382905884,1.577490635381817,2.363663698900124,102.67
gu_push_peak,soft,3396.0,1.387236729025749,0.2290197276835264,0.8833326157155686,1.1774695027119988,1.38924978626176,1.5788685658114492,2.363442710830259,102.67
gu_dip_depth,ALL,13153.0,0.5729086999582975,0.17934218848796862,0.3101478873558321,0.4037923735740569,0.5174373331892381,0.7571022189859224,0.8734544285196535,96.71
gu_dip_depth,hard,9757.0,0.5638688069931392,0.1771005788566412,0.3101478873558321,0.4017318826790579,0.4960658961224595,0.7499167870191351,0.8734544285196535,96.71
gu_dip_depth,soft,3396.0,0.5988810897289244,0.18319259355311893,0.324147557895045,0.41094969250366886,0.7236666504915534,0.7725972565767973,0.8605931261983293,96.71
gyro_z_strike,ALL,13153.0,3256709.0208317493,1010157.5858327892,664621.0,2602285.0,3147177.0,3666413.0,10297966.0,94.96
gyro_z_strike,hard,9757.0,3307167.3066516346,1058160.216491059,664621.0,2602285.0,3202155.0,3722612.0,10297966.0,94.96
gyro_z_strike,soft,3396.0,3111738.0270906948,840874.9888673932,667064.0,2603507.0,3045163.0,3493232.5,8896641.0,94.96
stance_duration_roll3_std,ALL,13153.0,0.02271569473374693,0.018732508750408973,0.0,0.0092376043070371,0.018475208614066,0.027712812921103,0.5204305909532988,85.25
stance_duration_roll3_std,hard,9757.0,0.021828827051814326,0.018873759801031658,0.0,0.009237604307037,0.0184752086140578,0.0277128129210866,0.5204305909532988,85.25
stance_duration_roll3_std,soft,3396.0,0.025263741839935506,0.018082886758262237,0.0,0.0159999999999911,0.024440403706418402,0.033306655991451,0.1283329004321667,85.25
gu_press_jitter,ALL,13153.0,0.0073959525891369796,0.003035522083915833,0.0022350591015615,0.0045817454775453,0.0068244994301011,0.0100531648449467,0.0165076751702925,75.82
gu_press_jitter,hard,9757.0,0.007260373306434385,0.002919302380722766,0.0025087983873563,0.0045691483043562,0.0066113493401023,0.0098184294027587,0.0165076751702925,75.82
