surface,source_user,hardness,evenness
paved,Kristian,61.9375443683544,62.64775413711584
paved,Kristian,60.33359371546173,60.83776595744681
paved,Kristian,53.499403369216125,56.63416075650118
paved,Kristian,68.57794198759962,58.00088652482269
paved,Kristian,48.115662959654934,50.90130023640662
paved,Kristian,52.97539624117057,57.476359338061464
paved,Kristian,59.74364034409396,47.45124113475177
paved,Kristian,65.4645313568801,56.35342789598109
paved,Kristian,49.98443997760361,58.156028368794324
paved,Kristian,54.95210583475721,57.033096926713945
paved,Kristian,52.05962253872948,58.909574468085104
paved,Kristian,52.37298182561081,50.687056737588655
paved,Kristian,65.21143441603424,56.78191489361703
paved,Kristian,50.679263819795,50.524527186761226
paved,Kristian,55.932696529148494,53.80466903073287
paved,Kristian,62.89953697024041,60.40927895981088
paved,Kristian,52.11151570364817,58.35549645390071
paved,Kristian,60.90661829804754,48.5298463356974
paved,Kristian,54.792072064876386,49.15780141843972
paved,Kristian,45.85198907212353,56.59722222222222
paved,Kristian,66.52356750931678,53.560874704491724
paved,Kristian,55.834551522527995,49.83008274231678
paved,Kristian,54.42239980612589,49.9113475177305
paved,Kristian,58.69246028421009,58.00827423167849
paved,Kristian,51.64721016828607,62.65514184397163
paved,Kristian,57.524346556178315,50.01477541371159
paved,Kristian,58.139266644964394,37.071513002364064
paved,Kristian,54.34844947901377,28.708628841607563
paved,Kristian,56.52565431802758,34.714834515366434
paved,Kristian,56.431048827523064,48.94355791962175
paved,Kristian,60.05946132828682,57.402482269503544
paved,Kristian,66.20614339326471,62.57387706855791
grass,Kristian,44.34682657135726,61.25147754137116
grass,Kristian,37.29110089072589,56.04314420803782
grass,Kristian,90.53400747998613,13.083628841607563
grass,Kristian,8.78742105511479,2.223699763593381
grass,Kristian,46.477080661791334,0.051713947990543734
grass,Kristian,44.70484056884422,2.5265957446808507
grass,Kristian,55.870130034388765,14.68676122931442
grass,Kristian,34.89360194069496,8.385047281323878
grass,Kristian,46.421979475299366,13.187056737588653
grass,Kristian,40.51655208050345,6.848404255319148
grass,Kristian,26.619569668317556,16.179078014184398
grass,Kristian,24.10855443981628,15.713652482269502
grass,Kristian,33.71647761236195,13.312647754137116
grass,Kristian,49.34228971524177,11.82033096926714
grass,Kristian,53.34025804989233,12.699468085106384
grass,Kristian,41.38358562156223,20.55260047281324
grass,Kristian,38.72387631509169,18.550531914893618
grass,Kristian,52.62351022555869,17.346335697399525
grass,Kristian,41.398254484680955,25.155141843971627
grass,Kristian,98.8306719042835,12.30791962174941
grass,Kristian,23.931145925412086,2.8738179669030735
grass,Kristian,50.016659983128406,3.760342789598109
grass,Kristian,39.86796322299409,2.947695035460993
grass,Kristian,49.00979922420455,21.2322695035461
