step,predicted_ground_type,prob_Brick,prob_Concrete,prob_Grass,contact_time_sec,loading_rate,midstance_pressure,time_to_midstance,step_duration,stance_auc
77,Brick,0.39,0.365,0.245,88.384,1168.750000000025,1946.0,0.0,70,3831.727999999996
78,Brick,0.405,0.34,0.255,89.504,815.6250000000073,1961.0,0.0,71,3896.3199999999624
79,Concrete,0.36,0.375,0.265,90.656,1024.553571428656,1939.0,0.0,72,3951.7919999999804
80,Brick,0.36,0.34,0.3,91.824,1231.2500000000264,1775.0,0.0,74,4015.8239999999696
81,Brick,0.395,0.38,0.225,92.992,1679.687500000185,1857.0,0.0,71,3895.760000000019
82,Brick,0.37,0.365,0.265,94.128,1062.4999999999836,1835.0,0.0,72,3991.6320000000405
83,Concrete,0.35,0.385,0.265,95.296,1562.5000000001137,1774.0,0.0,73,4037.640000000003
84,Brick,0.415,0.355,0.23,96.464,1038.888888888888,1742.0,0.0,72,3884.439999999982
85,Brick,0.355,0.35,0.295,97.616,1251.7857142857542,1823.0,0.0,72,3961.767999999983
86,Concrete,0.385,0.4,0.215,98.768,1072.916666666671,1897.0,0.0,70,3913.8159999999975
87,Concrete,0.365,0.395,0.24,99.856,593.7499999998017,2052.0,0.0,71,3979.648000000021
88,Concrete,0.325,0.41,0.265,101.04,1073.660714285801,1944.0,0.0,73,4025.8080000000036
89,Brick,0.41,0.37,0.22,102.192,936.1979166666464,1903.0,0.0,71,3919.2160000000176
90,Concrete,0.365,0.42,0.215,103.328,1620.3125000001155,1723.0,0.0,69,3750.8560000000334
91,Concrete,0.33,0.44,0.23,104.448,1113.839285714175,1730.0,0.0,70,3857.479999999995
92,Concrete,0.425,0.43,0.145,105.52,1445.3124999996683,1994.0,0.0,68,3717.7200000000157
93,Brick,0.435,0.415,0.15,106.64,1312.4999999999948,1892.0,0.0,71,3936.2959999999575
94,Brick,0.415,0.415,0.17,107.744,1649.9999999997688,1947.0,0.0,68,3755.640000000013
95,Brick,0.43,0.35,0.22,108.848,802.0833333333233,1906.0,0.0,72,3997.152000000042
96,Concrete,0.37,0.485,0.145,110.032,1882.812499999498,1638.0,0.0,71,3967.5040000000204
