sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,transition,asphalt,concrete
1,1778969558128,11744,-49997,14003,-1957212,-1260825,1949881,0,0,0,422,346,222,329,264,336,525,449,347,482,502,283,0,,,
2,1778969558128,3675,-1761,17511,5556430,-68416,-965167,0,0,0,603,566,346,558,665,643,335,148,494,286,200,645,0,,,
1,1778969558144,11964,-45986,14965,583987,834441,889419,0,0,0,419,311,221,322,231,330,599,609,337,553,590,255,0,,,
2,1778969558144,2770,-2483,20449,6245486,47647,-1144761,0,0,0,573,535,350,528,587,603,332,132,462,273,183,559,0,,,
1,1778969558160,10547,-27834,16238,3072652,2689028,-586430,0,0,0,410,307,218,321,221,334,625,670,339,643,684,237,0,,,
2,1778969558160,1244,-2866,26010,6868568,397062,-1086118,0,0,0,524,456,313,466,446,494,320,140,380,278,180,439,0,,,
1,1778969558176,6389,-224,21272,3649308,2979800,-1176526,0,0,0,429,281,251,336,202,335,667,702,361,708,722,218,0,,,
2,1778969558176,650,-3067,32730,7446447,1034805,-884532,0,0,0,430,354,252,359,311,356,319,189,292,266,218,299,0,,,
1,1778969558192,2703,9590,27829,3435506,2158797,-411723,0,0,0,428,327,361,341,230,364,683,712,348,734,734,234,0,,,
2,1778969558192,516,-1823,39837,8019438,1968207,-682947,0,0,0,360,301,236,287,244,282,354,218,271,260,268,226,0,,,
1,1778969558208,1459,-660,26235,2994461,1017701,367740,0,0,0,467,359,393,354,251,352,709,712,332,749,749,270,0,,,
2,1778969558208,1947,6791,37740,7937582,2768441,-818559,0,0,0,361,303,239,292,241,276,375,212,285,288,283,233,0,,,
1,1778969558224,1598,-2632,16477,2173458,134390,291993,0,0,0,467,388,445,349,277,364,724,728,357,741,741,292,0,,,
2,1778969558224,1780,18272,31045,6173404,2177123,-1391551,0,0,0,367,303,240,284,234,271,352,216,271,284,286,222,0,,,
1,1778969558240,670,598,10122,1441641,-415388,147829,0,0,0,470,414,466,352,309,371,727,728,363,738,738,309,0,,,
2,1778969558240,1129,23144,26092,1876578,-422718,-1587027,0,0,0,375,308,249,282,238,276,347,220,266,290,294,237,0,,,
1,1778969558256,-827,2062,10232,984714,-591317,86742,0,0,0,488,443,476,364,327,376,725,725,386,731,731,340,0,,,
2,1778969558256,3359,19765,18951,-1635897,-2356718,-1356120,0,0,0,377,305,249,280,234,276,338,214,274,289,295,238,0,,,
1,1778969558272,-1402,1273,11639,703716,-557109,45204,0,0,0,495,457,470,375,339,379,719,719,376,724,724,364,0,,,
2,1778969558272,5082,14979,12194,-2720793,-2053728,-1231504,0,0,0,374,298,249,282,233,295,336,225,290,272,310,245,0,,,
1,1778969558288,-784,1488,11256,684169,-487470,26878,0,0,0,498,456,477,387,344,386,707,705,375,707,707,386,0,,,
2,1778969558288,2239,13831,10370,-3241250,-1078788,-1263269,0,0,0,374,298,249,277,232,277,356,225,269,274,314,230,0,,,
1,1778969558304,-550,2158,10605,871093,-472809,41538,0,0,0,505,459,485,398,355,394,697,684,378,687,687,405,0,,,
2,1778969558304,607,11969,10208,-4197865,-1044579,-1207069,0,0,0,370,294,246,288,232,274,351,214,253,283,316,232,0,,,
1,1778969558320,-703,2029,10471,1053131,-445931,54977,0,0,0,511,470,473,405,372,392,683,645,377,666,666,418,0,,,
2,1778969558320,2024,8274,9404,-5119050,-1099557,-1264491,0,0,0,372,304,271,287,233,276,361,226,262,270,317,236,0,,,
1,1778969558336,-775,1684,10509,1167974,-415388,58643,0,0,0,514,483,460,411,384,392,665,602,386,636,630,439,0,,,
2,1778969558336,2407,5843,9384,-5486791,-361632,-1490511,0,0,0,372,305,254,279,226,255,360,231,252,271,313,212,0,,,
1,1778969558352,-827,1454,10533,1247386,-388510,59864,0,0,0,519,502,453,423,396,408,650,561,411,601,584,467,0,,,
2,1778969558352,1426,4603,10275,-5816658,188146,-1469741,0,0,0,370,303,251,285,225,263,363,229,254,269,313,216,0,,,
1,1778969558368,-875,1349,10332,1336573,-313984,68416,0,0,0,528,521,429,430,410,417,634,486,432,572,546,486,0,,,
2,1778969558368,1182,3484,10940,-6119647,417831,-1016479,0,0,0,369,298,249,287,225,267,362,223,257,276,312,230,0,,,
1,1778969558384,-804,1153,10074,1352455,-204028,62308,0,0,0,542,532,423,437,402,414,633,413,425,553,495,504,0,,,
2,1778969558384,1560,2359,11495,-6287025,746477,-357967,0,0,0,369,298,252,293,225,273,366,222,262,278,313,228,0,,,
1,1778969558400,-813,717,9863,1264491,-130725,50090,0,0,0,565,532,422,453,422,416,612,354,421,503,423,532,0,,,
2,1778969558400,1497,1627,12443,-6335894,1127657,245567,0,0,0,367,303,256,288,223,270,364,222,260,278,314,231,0,,,
