sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,compact ground
1,1778968590304,-947,770,10174,1125213,-206472,58643,0,0,0,548,471,458,473,394,425,654,487,466,580,571,460,0,
2,1778968590304,6111,-52,37109,8415279,-4886,-1832595,0,0,0,340,315,254,246,192,279,295,201,243,265,286,261,0,
1,1778968590320,-904,689,10093,1132544,-259006,50090,0,0,0,548,476,451,432,395,411,653,455,445,573,528,479,0,
2,1778968590320,6235,8207,34831,8195368,35430,-1946216,0,0,0,343,316,258,267,201,285,287,201,240,261,292,255,0,
1,1778968590336,-1162,516,9906,1099557,-261450,62308,0,0,0,544,484,447,420,389,407,657,425,451,561,503,504,0,
2,1778968590336,8236,19818,26436,5376835,-1051909,-1345125,0,0,0,350,321,281,266,210,312,292,222,288,259,308,261,0,
1,1778968590352,-1354,33,9538,992045,-173485,91629,0,0,0,553,488,450,434,393,415,658,378,449,546,474,517,0,
2,1778968590352,8920,23823,20306,1160643,-1941329,161268,0,0,0,355,307,297,258,207,306,303,222,280,269,311,272,0,
1,1778968590368,-1521,-416,9222,808785,-25656,119729,0,0,0,562,504,466,460,400,427,651,347,447,537,463,513,0,
2,1778968590368,9059,18047,14194,-1803274,-2173458,1830152,0,0,0,356,315,289,259,212,281,298,234,250,265,316,255,0,
1,1778968590384,-1612,-559,9212,621860,119729,167377,0,0,0,578,521,478,482,421,436,650,326,455,534,452,516,0,
2,1778968590384,9035,13500,9035,-2302961,-1169196,2100154,0,0,0,359,329,286,265,225,291,302,262,262,271,321,258,0,
1,1778968590400,-1512,-483,9485,507018,223576,229685,0,0,0,598,539,488,501,456,448,648,298,464,534,433,531,0,
2,1778968590400,5905,12285,7681,-2906496,-30543,1677435,0,0,0,378,323,282,275,227,299,310,242,249,265,304,246,0,
1,1778968590416,-1397,-406,9820,477696,320093,283441,0,0,0,616,564,496,513,474,460,635,279,470,541,426,544,0,
2,1778968590416,2589,11170,8327,-3927863,139277,1127657,0,0,0,370,331,282,271,232,300,300,235,240,256,302,246,0,
1,1778968590432,-1282,-416,10232,522900,432492,327423,0,0,0,647,577,487,503,481,454,631,260,469,543,417,564,0,
2,1778968590432,1933,8083,8231,-4900360,-8552,408057,0,0,0,354,334,278,275,236,300,311,240,237,258,300,239,0,
1,1778968590448,-1119,-579,10691,658512,511905,360410,0,0,0,667,626,469,525,517,463,620,239,471,533,407,586,0,
2,1778968590448,1469,5250,8494,-5508782,241902,-415388,0,0,0,362,336,274,288,238,299,320,240,240,268,301,242,0,
1,1778968590464,-995,-636,11093,851546,447153,393397,0,0,0,686,652,459,524,543,484,596,237,475,498,369,607,0,
2,1778968590464,-105,3847,9820,-5787337,629191,-945619,0,0,0,368,342,280,289,238,298,316,229,239,272,308,243,0,
1,1778968590480,-837,-679,11619,1130100,284663,442266,0,0,0,710,666,424,538,553,494,594,221,457,444,326,650,0,
2,1778968590480,-1392,3488,11294,-5960823,810007,-906524,0,0,0,364,344,290,287,237,307,317,221,246,276,314,255,0,
1,1778968590496,-315,-804,12079,1429424,129503,452040,0,0,0,723,684,407,557,607,505,582,207,431,433,324,669,0,
2,1778968590496,-1761,3689,12878,-6150191,919963,-288328,0,0,0,353,344,291,287,239,309,320,221,247,275,314,257,0,
1,1778968590512,52,-899,13184,1795943,8552,356745,0,0,0,713,696,346,588,632,511,534,212,428,422,305,679,0,
2,1778968590512,-1507,3192,14481,-6439741,1095892,499687,0,0,0,345,344,287,286,240,303,323,222,241,271,313,250,0,
