time_utc,lat,lon,ele,elapsed_s,total_pressure,total_pressure_R,total_pressure_L,p_norm
2026-04-24 19:09:48+00:00,42.337172040715814,-71.09115969389677,3.4000000953674316,40.0,3395.0,3770.0,3020.0,0.0
2026-04-24 19:09:49+00:00,42.3371812608093,-71.09116765670478,3.200000047683716,41.0,3649.0,3224.0,4074.0,0.27000014217268314
2026-04-24 19:09:50+00:00,42.33718788251281,-71.09117369167507,3.200000047683716,42.0,3590.5,2797.0,4384.0,0.18682912265237364
2026-04-24 19:09:51+00:00,42.337194085121155,-71.09118073247373,3.200000047683716,43.0,3477.5,2785.0,4170.0,0.02617399092938266
2026-04-24 19:09:52+00:00,42.33719986863434,-71.09118827618659,3.200000047683716,44.0,3488.0,2745.0,4231.0,0.04110212263815616
2026-04-24 19:09:53+00:00,42.33721227385104,-71.0911941435188,3.0,45.0,3447.5,2650.0,4245.0,0.0
2026-04-24 19:09:54+00:00,42.33721545897424,-71.09120604582131,3.0,46.0,3784.5,3991.0,3578.0,0.4626441275573316
2026-04-24 19:09:55+00:00,42.337219063192606,-71.09121887013316,2.799999952316284,47.0,3574.5,4005.0,3144.0,0.16408149338186165
2026-04-24 19:09:56+00:00,42.33722266741097,-71.09122264198959,2.799999952316284,48.0,3558.5,4118.0,2999.0,0.14133386411134966
2026-04-24 19:09:57+00:00,42.337225349619985,-71.09122389927506,2.799999952316284,49.0,3611.0,4221.0,3001.0,0.21597452265521713
2026-04-24 19:09:58+00:00,42.337228031829,-71.09122247435153,2.799999952316284,50.0,3620.0,3525.0,3715.0,0.22877006411988013
2026-04-24 19:09:59+00:00,42.33723163604736,-71.09121937304735,2.799999952316284,51.0,3631.5,2843.0,4420.0,0.24511992265806062
2026-04-24 19:10:00+00:00,42.33723398298025,-71.09121979214251,2.799999952316284,52.0,3549.5,2752.0,4347.0,0.12853832264668663
2026-04-24 19:10:01+00:00,42.337241442874074,-71.09121358953416,2.799999952316284,53.0,3513.0,2735.0,4291.0,0.07664529337333115
2026-04-24 19:10:02+00:00,42.33724856749177,-71.09120512381196,2.799999952316284,54.0,3493.5,2710.0,4277.0,0.048921620199894655
2026-04-24 19:10:03+00:00,42.33725594356656,-71.09119825065136,2.799999952316284,55.0,3534.0,2893.0,4175.0,0.10650155679087815
2026-04-24 19:10:04+00:00,42.33726382255554,-71.09119581989944,2.799999952316284,56.0,3776.0,3995.0,3557.0,0.4505594495073721
2026-04-24 19:10:05+00:00,42.337272791191936,-71.09119665808976,3.0,57.0,3554.5,4030.0,3079.0,0.13564695679372166
