step,ground_type,predicted_ground_type,contact_time_sec,midstance_time_sec,loading_rate,midstance_pressure
47,Grass,Grass,65.024,65.024,2101.562500000143,2097.0
53,Concrete,Concrete,65.432,65.432,2040.6249999998959,2090.0
50,Brick,Brick,65.976,65.976,1759.9431818183234,2268.0
48,Grass,Grass,66.176,66.176,562.5000000003117,2400.0
54,Concrete,Concrete,66.52,66.52,2367.1874999997353,2352.0
51,Brick,Brick,67.112,67.112,884.3749999999403,2292.0
49,Grass,Grass,67.36,67.36,1857.8124999999136,2175.0
55,Concrete,Concrete,67.64,67.64,1939.062500000131,2457.0
52,Brick,Brick,68.232,68.232,1656.2500000000355,2181.0
50,Grass,Grass,68.512,68.512,1389.1369047619057,2430.0
56,Concrete,Concrete,68.792,68.792,1134.375000000024,2288.0
53,Brick,Brick,69.368,69.368,2006.2500000000427,2179.0
51,Grass,Grass,69.664,69.664,942.7083333332514,2267.0
57,Concrete,Concrete,70.088,70.088,788.6904761904689,1970.0
54,Brick,Brick,70.472,70.472,1652.0833333331552,2191.0
52,Grass,Grass,70.816,70.816,1047.9166666666504,2307.0
55,Brick,Brick,71.544,71.544,1371.8750000000612,2394.0
53,Grass,Grass,72.016,72.016,1343.7500000000286,2196.0
56,Brick,Brick,72.648,72.648,1124.9999999999668,2256.0
54,Grass,Grass,73.168,73.168,1120.3125000000095,2199.0
57,Brick,Brick,73.72,73.72,1466.9642857143297,2362.0
55,Grass,Grass,74.352,74.352,1281.2500000000014,2180.0
58,Brick,Brick,74.808,74.808,1123.10606060617,2295.0
56,Grass,Grass,75.552,75.552,1537.4999999999884,2339.0
59,Brick,Brick,75.912,75.912,1609.3750000001774,2347.0
57,Grass,Grass,76.72,76.72,972.2222222222131,2196.0
60,Brick,Brick,77.032,77.032,1359.0909090909258,2228.0
58,Grass,Grass,77.872,77.872,1614.5833333333221,2259.0
59,Concrete,Concrete,77.872,77.872,1638.3928571428464,2297.0
60,Concrete,Concrete,78.992,78.992,990.6250000000655,2417.0
59,Grass,Grass,79.024,79.024,1099.9999999999345,2449.0
61,Concrete,Concrete,80.096,80.096,1311.7187500000166,2432.0
60,Grass,Grass,80.208,80.208,1300.0000000000277,2404.0
62,Concrete,Concrete,81.184,81.184,1662.5000000000355,2315.0
61,Grass,Grass,81.376,81.376,1425.0000000000305,2250.0
63,Concrete,Concrete,82.272,82.272,1489.5833333333833,2274.0
62,Grass,Grass,82.544,82.544,1311.1111111111086,2211.0
64,Concrete,Concrete,83.344,83.344,1110.321969696938,2347.0
63,Grass,Grass,83.696,83.696,1179.3154761904807,2212.0
65,Concrete,Concrete,84.416,84.416,1064.867424242394,2397.0
64,Grass,Grass,84.912,84.912,1272.9166666666674,2221.0
66,Concrete,Concrete,85.504,85.504,1203.1250000000805,2290.0
67,Concrete,Concrete,86.592,86.592,841.4772727272419,2408.0
68,Concrete,Concrete,87.696,87.696,1205.729166666641,2381.0
69,Concrete,Concrete,88.8,88.8,1270.8333333333278,2316.0
70,Concrete,Concrete,89.888,89.888,2050.0000000000437,2339.0
62,Brick,Grass,90.368,90.368,1648.4374999998395,2062.0
71,Concrete,Concrete,90.976,90.976,1310.416666666668,2362.0
63,Brick,Brick,91.552,91.552,1306.547619047723,2186.0
72,Concrete,Concrete,92.048,92.048,780.6818181818245,2317.0
64,Brick,Brick,92.72,92.72,1762.5000000000375,2172.0
73,Concrete,Concrete,93.136,93.136,1577.0833333333212,2264.0
65,Brick,Brick,93.856,93.856,1677.0833333332039,2219.0
74,Concrete,Concrete,94.224,94.224,1125.0000000000525,2394.0
66,Brick,Brick,94.976,94.976,1589.583333333316,2303.0
75,Concrete,Concrete,95.312,95.312,1177.0833333332635,2453.0
67,Brick,Brick,96.096,96.096,859.217171717192,2172.0
76,Concrete,Concrete,96.432,96.432,1063.3928571428937,2300.0
68,Brick,Brick,97.216,97.216,833.3333333333203,2020.0
77,Concrete,Concrete,97.6,97.6,1981.2499999996903,2276.0
69,Brick,Brick,98.304,98.304,1187.5000000000252,2247.0
78,Concrete,Concrete,98.752,98.752,1831.249999999728,2165.0
70,Brick,Brick,99.392,99.392,1369.3181818178841,2294.0
79,Concrete,Concrete,99.888,99.888,1794.7916666666645,2162.0
71,Brick,Brick,100.512,100.512,1182.2916666669635,2271.0
80,Concrete,Concrete,101.008,101.008,1172.916666666717,2122.0
72,Brick,Brick,101.632,101.632,1491.9642857142599,2319.0
